City,Lat,Long,Max Temp (C),Humidity,Cloudiness,Windspeed,Country Code,Date
Houma,29.6,-90.72,32.22,74,40,2.6,US,1601310009
Yaring,6.87,101.37,24.0,100,20,3.3,TH,1601310226
Aklavik,68.22,-135.01,3.0,93,90,3.6,CA,1601310226
Sambava,-14.27,50.17,23.11,86,99,5.85,MG,1601310226
Ardahan,41.11,42.7,13.21,64,13,1.51,TR,1601310226
Lompoc,34.64,-120.46,15.56,93,90,0.87,US,1601310227
Mount Gambier,-37.83,140.77,6.0,93,100,3.6,AU,1601310227
Poso,-1.4,120.75,24.81,75,85,2.2,ID,1601310228
Gladstone,-23.85,151.25,19.0,59,40,2.6,AU,1601310228
Morant Bay,17.88,-76.41,30.0,70,20,6.7,JM,1601310228
Dunedin,-45.87,170.5,2.22,75,36,1.79,NZ,1601310076
Mantua,22.29,-84.28,31.79,57,28,2.42,CU,1601310229
Tiznit Province,29.58,-9.5,29.71,27,8,2.18,MA,1601310229
Libreville,0.39,9.45,28.0,74,40,4.6,GA,1601310229
Sabinas,27.85,-101.12,20.54,43,98,9.59,MX,1601310230
Pont-à-Mousson,48.91,6.06,17.0,48,100,5.1,FR,1601310230
Pitimbu,-7.47,-34.81,30.0,58,75,6.7,BR,1601310231
Jiménez,28.33,-105.4,18.0,52,5,10.3,MX,1601310231
Zabol,31.03,61.5,27.0,15,66,6.2,IR,1601310231
Ayagoz,47.97,80.44,3.31,82,56,3.98,KZ,1601310231
Kargil,34.57,76.1,8.92,45,8,3.09,IN,1601310232
Beyneu,45.32,55.2,12.84,37,0,2.55,KZ,1601310232
Canutama,-6.53,-64.38,37.39,38,95,0.72,BR,1601310232
Maple Creek,49.92,-109.48,13.33,38,70,4.73,CA,1601310097
Lubango,-14.92,13.49,29.0,38,19,3.1,AO,1601310131
Srednekolymsk,67.45,153.68,6.62,61,99,2.11,RU,1601310233
Ballina,-28.87,153.57,13.0,87,90,2.1,AU,1601310233
Bilma,18.69,12.92,39.92,9,87,2.51,NE,1601310234
Sabāthu,30.97,76.99,17.75,53,0,2.58,IN,1601310234
Warrnambool,-38.38,142.48,6.67,88,50,2.68,AU,1601310235
Katsuura,35.13,140.3,21.0,73,75,4.6,JP,1601310235
Vasil'sursk,56.13,46.01,10.77,62,94,2.51,RU,1601310235
Olafsvik,64.89,-23.71,4.58,88,94,6.32,IS,1601310236
Lianzhou,24.78,112.38,23.38,87,98,0.41,CN,1601310236
Ati,13.22,18.34,35.23,34,100,1.98,TD,1601310236
Pinar del Río,22.42,-83.7,30.24,66,9,2.69,CU,1601310237
Lüderitz,-26.65,15.16,16.99,47,0,13.23,NA,1601310237
São José da Coroa Grande,-8.9,-35.15,27.38,71,15,5.25,BR,1601310238
Nísia Floresta,-6.09,-35.21,30.0,66,40,10.3,BR,1601310238
Kavaratti,10.57,72.64,27.4,79,79,4.76,IN,1601310239
Tigil',57.8,158.67,5.68,65,100,2.14,RU,1601310240
São Paulo de Olivença,-3.38,-68.87,33.17,52,26,2.1,BR,1601310240
Trelew,-43.25,-65.31,21.15,23,44,8.58,AR,1601310240
Chingirlau,51.09,54.08,13.86,58,63,3.22,KZ,1601310241
Boyolangu,-8.12,111.89,23.89,87,96,3.02,ID,1601310241
Moose Factory,51.26,-80.61,13.0,87,1,1.0,CA,1601310241
Kumul,42.8,93.45,18.58,25,100,2.9,CN,1601310242
Flin Flon,54.77,-101.86,7.0,81,90,2.6,CA,1601310242
Marsh Harbour,26.54,-77.06,28.69,72,28,4.55,BS,1601310242
La Ronge,55.1,-105.28,9.0,81,90,5.7,CA,1601310243
Stornoway,58.21,-6.39,13.33,76,40,8.7,GB,1601310243
Sosnovo-Ozerskoye,52.52,111.54,-0.35,96,1,4.39,RU,1601310243
Ulaanbaatar,47.91,106.88,-3.0,68,40,2.0,MN,1601310243
Concepción,-23.41,-57.43,30.48,27,13,3.54,PY,1601310244
Acajutla,13.59,-89.83,29.0,62,20,1.5,SV,1601310244
Brownwood,31.71,-98.99,19.0,37,90,7.7,US,1601310244
Leh,34.17,77.58,9.18,36,0,1.59,IN,1601310245
Kariba,-16.52,28.8,31.28,25,1,1.28,ZW,1601309945
Rajo Khanani,24.98,68.85,28.69,59,0,5.1,PK,1601310245
Rocha,-34.48,-54.33,15.74,64,53,6.83,UY,1601310147
Biloela,-24.42,150.5,14.77,79,0,3.7,AU,1601310245
Solnechnyy,50.72,136.63,9.12,80,100,1.69,RU,1601310246
Hobyo,5.35,48.53,25.45,85,28,7.05,SO,1601310246
Iralaya,15.0,-83.23,31.0,74,40,3.1,HN,1601310246
Arlit,18.74,7.39,39.85,10,65,1.34,NE,1601310247
Changli,39.7,119.15,19.76,63,100,4.44,CN,1601310247
Komsomol'skiy,43.98,46.7,16.41,62,96,7.33,RU,1601310247
Superior,46.72,-92.1,13.0,62,90,4.6,US,1601310000
Puerto Maldonado,-12.6,-69.18,22.0,100,90,2.6,PE,1601310248
San Luis,-33.3,-66.34,22.55,21,0,6.74,AR,1601310248
Olean,42.08,-78.43,23.89,60,75,4.6,US,1601310087
Berlevåg,70.86,29.09,9.0,87,75,6.7,NO,1601310249
Pangody,65.85,74.49,2.24,84,8,4.19,RU,1601310249
Brynmawr,51.8,-3.18,17.22,89,100,0.89,GB,1601310250
Camacha,33.08,-16.33,21.0,88,75,7.2,PT,1601310250
Khovu-Aksy,51.13,93.6,0.62,85,0,1.63,RU,1601310251
Yauya,-8.98,-77.3,14.69,51,39,1.83,PE,1601310251
Casambalangan,18.38,122.13,26.99,84,100,3.79,PH,1601310251
Piranshahr,36.7,45.14,15.38,54,0,2.77,IR,1601310251
Carlsbad,33.16,-117.35,23.33,88,1,1.5,US,1601310252
Umluj,25.02,37.27,30.77,61,0,2.33,SA,1601310252
Anito,12.45,125.29,25.69,86,31,1.37,PH,1601310252
Masumbwe,-3.63,32.18,25.23,53,82,0.71,TZ,1601310253
Torrington,41.8,-73.12,22.78,88,99,0.45,US,1601310253
Saint-Joseph,-21.37,55.62,23.0,78,37,1.5,RE,1601310253
Nur-Sultan,51.18,71.45,12.0,54,97,4.0,KZ,1601310014
Adelaide,-34.93,138.6,17.22,36,100,6.7,AU,1601310186
Kolosovka,56.47,73.61,11.58,93,93,5.36,RU,1601310254
Flores,-7.87,-37.97,35.67,26,8,4.38,BR,1601310254
Tezu,27.92,96.17,24.1,81,46,1.53,IN,1601310255
Yulara,-25.24,130.99,21.0,73,100,6.2,AU,1601310255
Angoche,-16.23,39.91,25.46,76,0,8.29,MZ,1601310255
Port Augusta,-32.5,137.77,18.0,34,95,4.1,AU,1601310256
Carmo do Rio Claro,-20.97,-46.12,36.0,17,3,2.4,BR,1601310256
Piaçabuçu,-10.41,-36.43,28.05,67,10,5.59,BR,1601310256
Yenagoa,4.92,6.26,25.68,87,95,3.86,NG,1601310256
Cervo,43.67,-7.41,19.44,65,100,2.97,ES,1601310257
Poum,-20.23,164.02,22.97,86,79,7.47,NC,1601310257
Cuenca,-2.88,-78.98,21.0,52,40,2.6,EC,1601310142
Derzhavīnsk,51.1,66.32,10.95,50,0,1.38,KZ,1601310258
Paysandu,-32.32,-58.08,19.3,45,0,4.17,UY,1601310258
Ust'-Koksa,50.27,85.61,1.72,84,83,1.44,RU,1601310258
Ferkessédougou,9.6,-5.2,31.45,53,6,2.04,CI,1601310259
Sobolevo,54.43,31.9,9.97,90,96,1.88,RU,1601310259
Vanimo,-2.67,141.3,25.7,83,97,1.77,PG,1601310260
Ibotirama,-12.19,-43.22,40.92,12,0,1.72,BR,1601310260
Muisne,0.6,-80.03,26.0,78,75,3.1,EC,1601310260
Nueva Loja,0.08,-76.88,27.0,78,40,1.0,EC,1601310260
Kasongo-Lunda,-6.47,16.82,29.12,57,100,1.51,CD,1601310261
Sisimiut,66.94,-53.67,0.68,86,74,1.32,GL,1601310261
Santa Marta,11.24,-74.2,30.0,74,75,3.1,CO,1601310261
Gayny,60.31,54.32,9.71,91,69,1.08,RU,1601310261
Saint Simons,31.14,-81.39,28.0,88,75,4.6,US,1601310262
Petrovskoye,57.01,39.27,11.0,61,100,5.96,RU,1601310262
Quatre Cocos,-20.21,57.76,23.33,83,75,3.6,MU,1601310262
Senanga,-16.12,23.27,34.62,14,71,1.19,ZM,1601310263
Balkanabat,39.51,54.37,18.53,25,0,4.38,TM,1601310263
Sola,-13.88,167.55,26.11,81,12,7.27,VU,1601310263
Ulcinj,41.93,19.22,19.0,77,75,1.5,ME,1601309985
Ambon City,-3.7,128.18,24.0,100,75,2.6,ID,1601310264
Acarí,-15.43,-74.62,24.11,43,34,4.1,PE,1601310264
Cabañas,22.98,-82.92,30.0,66,75,1.5,CU,1601310264
Trojes,14.08,-86.0,25.09,75,67,1.47,HN,1601310265
Laje,-10.18,-40.97,33.67,23,42,3.83,BR,1601310265
Zhuhai,22.28,113.57,27.22,88,40,2.6,CN,1601310266
Tadine,-21.55,167.88,21.75,90,99,4.81,NC,1601310266
Malanje,-9.54,16.34,28.0,78,75,3.6,AO,1601310266
Ancud,-41.87,-73.82,9.0,94,100,5.89,CL,1601310267
Cap Malheureux,-19.98,57.61,23.33,76,23,2.68,MU,1601310267
Makkah al Mukarramah,21.43,39.83,31.22,38,0,0.82,SA,1601310268
Brigantine,39.41,-74.36,23.0,78,1,4.6,US,1601310198
The Pas,53.83,-101.25,7.0,81,90,3.1,CA,1601310268
Puerto Baquerizo Moreno,-0.9,-89.6,21.0,88,75,6.2,EC,1601310269
Tahoua,14.89,5.27,36.0,30,64,2.1,NE,1601310269
Tombouctou,20.0,-3.0,40.29,8,0,0.6,ML,1601310269
